ID,英語名,タイプ（日本語）,特性（日本語）,重さ,HP,攻撃,防御,特攻,特防,素早さ,覚える技一覧（日本語）,画像URL
560,scrafty,"あく, かくとう","だっぴ, じしんかじょう, いかく",300,65,90,115,45,115,58,"メガトンパンチ, ほのおのパンチ, れいとうパンチ, かみなりパンチ, つるぎのまい, メガトンキック, すなかけ, ずつき, のしかかり, とっしん, すてみタックル, にらみつける, ほえる, はかいこうせん, けたぐり, カウンター, かいりき, あなをほる, どくどく, かげぶんしん, ゆびをふる, ドわすれ, とびひざげり, ねむる, いわなだれ, いかりのまえば, みがわり, どろぼう, いびき, のろい, きしかいせい, うらみ, まもる, こわいかお, だましうち, ヘドロばくだん, みきり, げきりん, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, アンコール, アイアンテール, めざめるパワー, あまごい, にほんばれ, かみくだく, いわくだき, ふくろだたき, ねこだまし, さわぐ, いちゃもん, からげんき, きあいパンチ, ちょうはつ, てだすけ, リベンジ, かわらわり, はたきおとす, がむしゃら, よこどり, ひみつのちから, うそなき, がんせきふうじ, てっぺき, ドラゴンクロー, ビルドアップ, りゅうのまい, インファイト, しっぺがえし, ダメおし, なげつける, どくづき, あくのはどう, りゅうのはどう, ドレインパンチ, きあいだま, ギガインパクト, しねんのずつき, ロッククライム, アイアンヘッド, ストーンエッジ, くさむすび, もろはのずつき, うちおとす, ローキック, アシッドボム, イカサマ, りんしょう, なしくずし, ファストガード, やきつくす, かたきうち, ドラゴンテール, ふるいたてる, ダブルチョップ, バークアウト, ないしょばなし, グロウパンチ, じごくづき, うっぷんばらし, コーチング, テラバースト, くさわけ, はやてがえし",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/560.png
561,sigilyph,"エスパー, ひこう","ミラクルスキン, マジックガード, いろめがね",140,72,58,80,103,80,97,"かぜおこし, ふきとばし, そらをとぶ, れいとうビーム, サイケこうせん, はかいこうせん, ソーラービーム, でんじは, どくどく, ねんりき, サイコキネシス, さいみんじゅつ, かげぶんしん, ひかりのかべ, リフレクター, オウムがえし, スピードスター, ゆめくい, ゴッドバード, フラッシュ, サイコウェーブ, ねむる, みがわり, どろぼう, いびき, まもる, こごえるかぜ, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, めざめるパワー, あまごい, じこあんじ, げんしのちから, シャドーボール, みらいよち, ねっぷう, からげんき, トリック, マジックコート, スキルスワップ, ふういん, ひみつのちから, エアカッター, コスモパワー, シグナルビーム, つばめがえし, めいそう, でんげきは, はねやすめ, じゅうりょく, ミラクルアイ, ついばむ, おいかぜ, サイコシフト, パワースワップ, あくのはどう, エアスラッシュ, エナジーボール, ギガインパクト, サイコカッター, しねんのずつき, ラスターカノン, きりばらい, トリックルーム, チャージビーム, サイコショック, テレキネシス, マジックルーム, うちおとす, シンクロノイズ, りんしょう, アシストパワー, ないしょばなし, マジカルシャイン, スピードスワップ, ワイドフォース, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/561.png
562,yamask,ゴースト,ミイラ,15,38,30,85,55,65,30,"かなしばり, どくどく, サイコキネシス, ナイトヘッド, かげぶんしん, くろいきり, ゆめくい, フラッシュ, ねむる, みがわり, どろぼう, あくむ, いびき, のろい, うらみ, まもる, みちづれ, こらえる, いばる, くろいまなざし, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, いたみわけ, めざめるパワー, あまごい, じこあんじ, シャドーボール, おにび, おきみやげ, からげんき, トリック, なりきり, マジックコート, はたきおとす, スキルスワップ, ふういん, おんねん, よこどり, ひみつのちから, おどろかす, うそなき, てっぺき, とおせんぼう, めいそう, でんげきは, しっぺがえし, さしおさえ, かいふくふうじ, どくびし, あくのはどう, エナジーボール, わるだくみ, しねんのずつき, トリックルーム, あやしいかぜ, ガードシェア, パワーシェア, ワンダールーム, テレキネシス, おさきにどうぞ, りんしょう, サイドチェンジ, たたりめ, トリックガード, ないしょばなし, まとわりつく, ポルターガイスト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/562.png
563,cofagrigus,ゴースト,ミイラ,765,58,50,145,95,105,30,"かなしばり, はかいこうせん, どくどく, サイコキネシス, ナイトヘッド, かげぶんしん, くろいきり, ゆめくい, フラッシュ, ねむる, みがわり, どろぼう, いびき, のろい, うらみ, まもる, こわいかお, みちづれ, こらえる, いばる, くろいまなざし, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, いたみわけ, めざめるパワー, あまごい, じこあんじ, シャドーボール, おにび, からげんき, トリック, なりきり, マジックコート, リベンジ, はたきおとす, スキルスワップ, ふういん, おんねん, よこどり, ひみつのちから, おどろかす, うそなき, てっぺき, とおせんぼう, めいそう, でんげきは, しっぺがえし, さしおさえ, パワースワップ, ガードスワップ, どくびし, あくのはどう, エナジーボール, ギガインパクト, わるだくみ, シャドークロー, しねんのずつき, トリックルーム, くさむすび, あやしいかぜ, ガードシェア, パワーシェア, ワンダールーム, テレキネシス, おさきにどうぞ, りんしょう, サイドチェンジ, たたりめ, ゴーストダイブ, トリックガード, ないしょばなし, まとわりつく, ボディプレス, ポルターガイスト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/563.png
564,tirtouga,"みず, いわ","ハードロック, がんじょう, すいすい",165,54,78,103,53,45,22,"たたきつける, のしかかり, かみつく, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, かいりき, いわおとし, じしん, あなをほる, どくどく, かげぶんしん, からにこもる, がまん, たきのぼり, ねむる, いわなだれ, みがわり, いびき, のろい, じたばた, まもる, こごえるかぜ, すなあらし, こらえる, ころがる, いばる, メロメロ, ねごと, おんがえし, やつあたり, アイアンテール, めざめるパワー, あまごい, かみくだく, げんしのちから, いわくだき, うずしお, からげんき, はたきおとす, ひみつのちから, ダイビング, がんせきふうじ, だくりゅう, てっぺき, とおせんぼう, マッドショット, ロックブラスト, みずのはどう, しおみず, ガードスワップ, ロックカット, アクアテール, だいちのちから, しねんのずつき, ストーンエッジ, ステルスロック, アクアジェット, ワイドガード, うちおとす, りんしょう, ねっとう, からをやぶる, じならし, ないしょばなし, アクアブレイク, メテオビーム",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/564.png
565,carracosta,"みず, いわ","ハードロック, がんじょう, すいすい",810,74,108,133,83,65,32,"のしかかり, かみつく, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, はかいこうせん, けたぐり, かいりき, じしん, あなをほる, どくどく, かげぶんしん, からにこもる, がまん, たきのぼり, ねむる, いわなだれ, みがわり, いびき, のろい, まもる, こごえるかぜ, すなあらし, こらえる, ころがる, いばる, メロメロ, ねごと, おんがえし, やつあたり, アイアンテール, めざめるパワー, あまごい, かみくだく, げんしのちから, いわくだき, うずしお, からげんき, ばかぢから, はたきおとす, ひみつのちから, ダイビング, がんせきふうじ, だくりゅう, てっぺき, とおせんぼう, マッドショット, ロックブラスト, みずのはどう, しおみず, ガードスワップ, ロックカット, アクアテール, きあいだま, だいちのちから, ギガインパクト, しねんのずつき, アイアンヘッド, ストーンエッジ, ステルスロック, アクアジェット, ワイドガード, うちおとす, りんしょう, ねっとう, からをやぶる, じならし, シェルブレード, ないしょばなし, アクアブレイク, メテオビーム",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/565.png
566,archen,"いわ, ひこう",よわき,95,55,112,45,74,45,70,"いあいぎり, つばさでうつ, あばれる, にらみつける, かみつく, ほえる, いわおとし, じしん, あなをほる, どくどく, こうそくいどう, でんこうせっか, かげぶんしん, スピードスター, ねむる, いわなだれ, みがわり, いびき, まもる, こわいかお, すなあらし, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, りゅうのいぶき, アイアンテール, めざめるパワー, かみくだく, げんしのちから, いわくだき, さわぐ, ねっぷう, いちゃもん, からげんき, ちょうはつ, はたきおとす, がむしゃら, ひみつのちから, がんせきふうじ, つばめがえし, てっぺき, ドラゴンクロー, とびはねる, ロックブラスト, はねやすめ, ついばむ, おいかぜ, とんぼがえり, ダメおし, ロックカット, アクアテール, りゅうのはどう, だいちのちから, すりかえ, シャドークロー, しねんのずつき, きりばらい, ストーンエッジ, ステルスロック, もろはのずつき, つめとぎ, うちおとす, りんしょう, ファストガード, サイドチェンジ, アクロバット, じならし, ないしょばなし, メテオビーム, うっぷんばらし, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/566.png
567,archeops,"いわ, ひこう",よわき,320,75,140,65,112,65,110,"いあいぎり, つばさでうつ, そらをとぶ, あばれる, にらみつける, ほえる, はかいこうせん, いわおとし, じしん, あなをほる, どくどく, こうそくいどう, でんこうせっか, かげぶんしん, スピードスター, ゴッドバード, ねむる, いわなだれ, みがわり, いびき, まもる, こわいかお, げきりん, すなあらし, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, りゅうのいぶき, アイアンテール, めざめるパワー, かみくだく, げんしのちから, いわくだき, さわぐ, ねっぷう, いちゃもん, からげんき, ちょうはつ, はたきおとす, がむしゃら, ひみつのちから, がんせきふうじ, つばめがえし, てっぺき, ドラゴンクロー, とびはねる, ロックブラスト, はねやすめ, ついばむ, おいかぜ, とんぼがえり, ダメおし, ロックカット, アクアテール, エアスラッシュ, りゅうのはどう, きあいだま, だいちのちから, ギガインパクト, シャドークロー, しねんのずつき, きりばらい, ストーンエッジ, ステルスロック, つめとぎ, うちおとす, りんしょう, ファストガード, サイドチェンジ, アクロバット, じならし, ドラゴンテール, ないしょばなし, メテオビーム, うっぷんばらし, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/567.png
568,trubbish,どく,"あくしゅう, ねんちゃく, ゆうばく",310,50,50,62,40,62,65,"はたく, おうふくビンタ, すなかけ, とっしん, どくどく, かげぶんしん, くろいきり, じばく, ヘドロこうげき, ドわすれ, どくガス, だいばくはつ, ねむる, みがわり, どろぼう, いびき, のろい, うらみ, まもる, ヘドロばくだん, まきびし, ギガドレイン, こらえる, ころがる, いばる, メロメロ, ねごと, おんがえし, やつあたり, いたみわけ, めざめるパワー, あまごい, にほんばれ, たくわえる, のみこむ, からげんき, リサイクル, ひみつのちから, どろあそび, ロックブラスト, しっぺがえし, どくびし, あくのはどう, タネばくだん, ドレインパンチ, ダストシュート, ベノムショック, ボディパージ, ヘドロウェーブ, アシッドボム, りんしょう, クリアスモッグ, ゲップ, ないしょばなし, ベノムトラップ, まとわりつく, ふしょくガス",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/568.png
569,garbodor,どく,"あくしゅう, くだけるよろい, ゆうばく",1073,80,95,82,60,82,75,"はたく, おうふくビンタ, のしかかり, とっしん, はかいこうせん, ソーラービーム, １０まんボルト, どくどく, サイコキネシス, いやなおと, かげぶんしん, じばく, ヘドロこうげき, ドわすれ, どくガス, だいばくはつ, ねむる, みがわり, どろぼう, いびき, うらみ, まもる, ヘドロばくだん, まきびし, ギガドレイン, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, いたみわけ, メタルクロー, めざめるパワー, あまごい, にほんばれ, たくわえる, のみこむ, からげんき, リサイクル, ひみつのちから, ロックブラスト, しっぺがえし, なげつける, どくびし, ロックカット, あくのはどう, タネばくだん, ドレインパンチ, きあいだま, ギガインパクト, クロスポイズン, ダストシュート, ベノムショック, うちおとす, ヘドロウェーブ, アシッドボム, りんしょう, クリアスモッグ, ゲップ, ないしょばなし, ベノムトラップ, まとわりつく, じだんだ, ボディプレス, ふしょくガス",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/569.png
570,zorua,あく,イリュージョン,125,40,65,40,80,40,65,"ひっかく, つるぎのまい, いあいぎり, とっしん, にらみつける, ほえる, カウンター, あなをほる, どくどく, こうそくいどう, ナイトヘッド, かげぶんしん, あやしいひかり, スピードスター, みだれひっかき, ねむる, みがわり, どろぼう, いびき, うらみ, まもる, こわいかお, だましうち, ヘドロばくだん, みきり, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, いたみわけ, アンコール, おいうち, めざめるパワー, あまごい, にほんばれ, じこあんじ, シャドーボール, さわぐ, いちゃもん, おきみやげ, からげんき, ちょうはつ, てだすけ, トリック, リベンジ, はたきおとす, ふういん, よこどり, ひみつのちから, ハイパーボイス, うそなき, じんつうりき, つばめがえし, とびはねる, ほしがる, めいそう, とんぼがえり, しっぺがえし, ダメおし, さしおさえ, なげつける, まねっこ, おしおき, ふいうち, あくのはどう, わるだくみ, シャドークロー, ゆうわく, くさむすび, つめとぎ, イカサマ, りんしょう, たたりめ, やきつくす, かたきうち, ナイトバースト, バークアウト, ないしょばなし, はいよるいちげき, しっとのほのお, うっぷんばらし, テラバースト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/570.png
571,zoroark,あく,イリュージョン,811,60,105,60,120,60,105,"メガトンパンチ, ひっかく, つるぎのまい, いあいぎり, メガトンキック, のしかかり, とっしん, にらみつける, ほえる, かえんほうしゃ, はかいこうせん, けたぐり, あなをほる, どくどく, サイコキネシス, こうそくいどう, ナイトヘッド, かげぶんしん, あやしいひかり, スピードスター, みだれひっかき, ねむる, みがわり, どろぼう, いびき, うらみ, まもる, こわいかお, だましうち, ヘドロばくだん, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, いたみわけ, アンコール, おいうち, めざめるパワー, あまごい, にほんばれ, かみくだく, じこあんじ, シャドーボール, いわくだき, さわぐ, いちゃもん, からげんき, ちょうはつ, てだすけ, トリック, リベンジ, かわらわり, はたきおとす, ふういん, よこどり, ひみつのちから, ハイパーボイス, うそなき, つばめがえし, とびはねる, ほしがる, めいそう, とんぼがえり, しっぺがえし, ダメおし, さしおさえ, なげつける, おしおき, あくのはどう, つじぎり, きあいだま, ギガインパクト, わるだくみ, シャドークロー, くさむすび, つめとぎ, ローキック, イカサマ, りんしょう, たたりめ, やきつくす, かたきうち, ナイトバースト, バークアウト, ないしょばなし, とぎすます, じごくづき, はいよるいちげき, しっとのほのお, うっぷんばらし, テラバースト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/571.png
572,minccino,ノーマル,"メロメロボディ, テクニシャン, スキルリンク",58,55,50,40,40,40,75,"はたく, おうふくビンタ, たたきつける, とっしん, しっぽをふる, なきごえ, うたう, １０まんボルト, でんじは, あなをほる, どくどく, かげぶんしん, スピードスター, ねむる, いかりのまえば, みがわり, どろぼう, いびき, じたばた, まもる, どろかけ, こらえる, あまえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, バトンタッチ, アンコール, アイアンテール, めざめるパワー, あまごい, にほんばれ, さわぐ, からげんき, てだすけ, はたきおとす, がむしゃら, ひみつのちから, ハイパーボイス, うそなき, くすぐる, タネマシンガン, ほしがる, めいそう, でんげきは, めざましビンタ, とんぼがえり, なげつける, とっておき, アクアテール, タネばくだん, ダストシュート, ゆうわく, くさむすび, おさきにどうぞ, りんしょう, エコーボイス, かたきうち, ふるいたてる, スイープビンタ, じゃれつく, ないしょばなし, マジカルシャイン, つぶらなひとみ, トリプルアクセル, テラバースト, おかたづけ, くさわけ, ひやみず, みわくのボイス",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/572.png
573,cinccino,ノーマル,"メロメロボディ, テクニシャン, スキルリンク",75,75,95,60,65,60,115,"はたく, たたきつける, とっしん, すてみタックル, しっぽをふる, うたう, はかいこうせん, １０まんボルト, でんじは, かみなり, あなをほる, どくどく, かげぶんしん, ひかりのかべ, スピードスター, ねむる, いかりのまえば, みがわり, どろぼう, いびき, じたばた, まもる, どろかけ, こらえる, あまえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, バトンタッチ, アンコール, アイアンテール, めざめるパワー, あまごい, にほんばれ, さわぐ, からげんき, てだすけ, はたきおとす, がむしゃら, ひみつのちから, ハイパーボイス, うそなき, くすぐる, タネマシンガン, ほしがる, めいそう, ロックブラスト, でんげきは, とんぼがえり, なげつける, とっておき, アクアテール, タネばくだん, きあいだま, ギガインパクト, ダストシュート, くさむすび, おさきにどうぞ, りんしょう, エコーボイス, かたきうち, ふるいたてる, スイープビンタ, じゃれつく, ないしょばなし, マジカルシャイン, つぶらなひとみ, とぎすます, トリプルアクセル, テラバースト, アイススピナー, おかたづけ, くさわけ, ひやみず, みわくのボイス",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/573.png
574,gothita,エスパー,"おみとおし, かちき, かげふみ",58,45,30,50,55,65,45,"はたく, おうふくビンタ, サイケこうせん, １０まんボルト, でんじは, どくどく, ねんりき, サイコキネシス, さいみんじゅつ, かげぶんしん, ひかりのかべ, リフレクター, スピードスター, ゆめくい, フラッシュ, ねむる, いわなだれ, みがわり, どろぼう, いびき, まもる, だましうち, こらえる, あまえる, いばる, くろいまなざし, メロメロ, ねごと, いやしのすず, おんがえし, やつあたり, しんぴのまもり, めざめるパワー, あまごい, ミラーコート, じこあんじ, シャドーボール, みらいよち, ねこだまし, さわぐ, いちゃもん, おだてる, からげんき, ちょうはつ, てだすけ, トリック, なりきり, マジックコート, リサイクル, スキルスワップ, ふういん, よこどり, ひみつのちから, うそなき, がんせきふうじ, くすぐる, シグナルビーム, ほしがる, めいそう, でんげきは, じゅうりょく, ミラクルアイ, しっぺがえし, さしおさえ, なげつける, かいふくふうじ, ガードスワップ, あくのはどう, エナジーボール, わるだくみ, しねんのずつき, トリックルーム, ゆうわく, くさむすび, チャージビーム, サイコショック, テレキネシス, マジックルーム, イカサマ, りんしょう, アシストパワー, サイドチェンジ, いやしのはどう, なかよくする, ないしょばなし, サイコフィールド, ワイドフォース, テラバースト, サイコノイズ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/574.png
575,gothorita,エスパー,"おみとおし, かちき, かげふみ",180,60,45,70,75,85,55,"はたく, おうふくビンタ, サイケこうせん, １０まんボルト, でんじは, どくどく, ねんりき, サイコキネシス, さいみんじゅつ, かげぶんしん, ひかりのかべ, リフレクター, ゆびをふる, スピードスター, ゆめくい, フラッシュ, ねむる, いわなだれ, みがわり, どろぼう, いびき, まもる, だましうち, こらえる, あまえる, いばる, メロメロ, ねごと, いやしのすず, おんがえし, やつあたり, しんぴのまもり, めざめるパワー, あまごい, じこあんじ, シャドーボール, みらいよち, さわぐ, いちゃもん, おだてる, からげんき, ちょうはつ, てだすけ, トリック, なりきり, マジックコート, リサイクル, スキルスワップ, ふういん, よこどり, ひみつのちから, うそなき, がんせきふうじ, くすぐる, シグナルビーム, ほしがる, めいそう, でんげきは, じゅうりょく, しっぺがえし, さしおさえ, なげつける, かいふくふうじ, ガードスワップ, あくのはどう, エナジーボール, わるだくみ, しねんのずつき, トリックルーム, くさむすび, チャージビーム, サイコショック, テレキネシス, マジックルーム, イカサマ, りんしょう, アシストパワー, サイドチェンジ, なかよくする, ないしょばなし, サイコフィールド, ワイドフォース, テラバースト, サイコノイズ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/575.png
576,gothitelle,エスパー,"おみとおし, かちき, かげふみ",440,70,55,95,95,110,65,"はたく, おうふくビンタ, のしかかり, サイケこうせん, はかいこうせん, １０まんボルト, でんじは, どくどく, ねんりき, サイコキネシス, さいみんじゅつ, かげぶんしん, ひかりのかべ, リフレクター, ゆびをふる, スピードスター, ゆめくい, フラッシュ, ねむる, いわなだれ, みがわり, どろぼう, いびき, まもる, だましうち, こらえる, あまえる, いばる, メロメロ, ねごと, いやしのすず, おんがえし, やつあたり, しんぴのまもり, めざめるパワー, あまごい, じこあんじ, シャドーボール, みらいよち, さわぐ, いちゃもん, おだてる, からげんき, ちょうはつ, てだすけ, トリック, なりきり, マジックコート, リサイクル, かわらわり, スキルスワップ, ふういん, よこどり, ひみつのちから, うそなき, がんせきふうじ, くすぐる, コスモパワー, シグナルビーム, ほしがる, めいそう, でんげきは, じゅうりょく, しっぺがえし, さしおさえ, なげつける, かいふくふうじ, ガードスワップ, あくのはどう, きあいだま, エナジーボール, ギガインパクト, わるだくみ, しねんのずつき, トリックルーム, くさむすび, チャージビーム, サイコショック, テレキネシス, マジックルーム, ローキック, イカサマ, りんしょう, アシストパワー, サイドチェンジ, なかよくする, ないしょばなし, グロウパンチ, とぎすます, サイコフィールド, ワイドフォース, テラバースト, サイコノイズ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/576.png
577,solosis,エスパー,"ぼうじん, マジックガード, さいせいりょく",10,45,30,40,105,50,20,"サイケこうせん, でんじは, かみなり, どくどく, ねんりき, サイコキネシス, ナイトヘッド, かげぶんしん, じこさいせい, あやしいひかり, ひかりのかべ, リフレクター, スピードスター, ゆめくい, フラッシュ, サイコウェーブ, とける, だいばくはつ, ねむる, いわなだれ, みがわり, いびき, まもる, こらえる, あまえる, ころがる, いばる, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, いたみわけ, アンコール, めざめるパワー, あまごい, にほんばれ, じこあんじ, シャドーボール, みらいよち, からげんき, てだすけ, トリック, なりきり, マジックコート, がむしゃら, スキルスワップ, ふういん, よこどり, ひみつのちから, おどろかす, がんせきふうじ, シグナルビーム, てっぺき, めいそう, でんげきは, じゅうりょく, ジャイロボール, さしおさえ, かいふくふうじ, パワースワップ, ガードスワップ, エナジーボール, しねんのずつき, ラスターカノン, トリックルーム, ワンダールーム, サイコショック, テレキネシス, おさきにどうぞ, りんしょう, アシストパワー, サイドチェンジ, ないしょばなし, まとわりつく, サイコフィールド, ワイドフォース, アイアンローラー, テラバースト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/577.png
578,duosion,エスパー,"ぼうじん, マジックガード, さいせいりょく",80,65,40,50,125,60,30,"サイケこうせん, でんじは, かみなり, どくどく, ねんりき, サイコキネシス, ナイトヘッド, かげぶんしん, じこさいせい, あやしいひかり, ひかりのかべ, リフレクター, スピードスター, ゆめくい, フラッシュ, サイコウェーブ, とける, だいばくはつ, ねむる, いわなだれ, みがわり, いびき, まもる, こらえる, あまえる, ころがる, いばる, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, いたみわけ, アンコール, めざめるパワー, あまごい, にほんばれ, じこあんじ, シャドーボール, みらいよち, からげんき, てだすけ, トリック, なりきり, マジックコート, がむしゃら, スキルスワップ, ふういん, よこどり, ひみつのちから, おどろかす, がんせきふうじ, シグナルビーム, てっぺき, めいそう, でんげきは, じゅうりょく, ジャイロボール, さしおさえ, かいふくふうじ, パワースワップ, ガードスワップ, エナジーボール, しねんのずつき, ラスターカノン, トリックルーム, ワンダールーム, サイコショック, テレキネシス, おさきにどうぞ, りんしょう, アシストパワー, サイドチェンジ, ないしょばなし, まとわりつく, サイコフィールド, ワイドフォース, アイアンローラー, テラバースト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/578.png
579,reuniclus,エスパー,"ぼうじん, マジックガード, さいせいりょく",201,110,65,75,125,85,30,"メガトンパンチ, ほのおのパンチ, れいとうパンチ, かみなりパンチ, のしかかり, サイケこうせん, はかいこうせん, かいりき, でんじは, かみなり, どくどく, ねんりき, サイコキネシス, ナイトヘッド, かげぶんしん, じこさいせい, あやしいひかり, ひかりのかべ, リフレクター, スピードスター, ゆめくい, ピヨピヨパンチ, フラッシュ, サイコウェーブ, とける, だいばくはつ, ねむる, いわなだれ, みがわり, いびき, まもる, こらえる, あまえる, ころがる, いばる, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, いたみわけ, アンコール, めざめるパワー, あまごい, にほんばれ, じこあんじ, シャドーボール, みらいよち, いわくだき, からげんき, きあいパンチ, てだすけ, トリック, なりきり, ばかぢから, マジックコート, はたきおとす, がむしゃら, スキルスワップ, ふういん, よこどり, ひみつのちから, おどろかす, がんせきふうじ, シグナルビーム, てっぺき, めいそう, でんげきは, じゅうりょく, アームハンマー, ジャイロボール, さしおさえ, なげつける, かいふくふうじ, パワースワップ, ガードスワップ, ドレインパンチ, きあいだま, エナジーボール, ギガインパクト, しねんのずつき, ラスターカノン, トリックルーム, くさむすび, ワンダールーム, サイコショック, テレキネシス, おさきにどうぞ, りんしょう, アシストパワー, サイドチェンジ, ないしょばなし, まとわりつく, グロウパンチ, とぎすます, サイコフィールド, ワイドフォース, アイアンローラー, テラバースト, サイコノイズ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/579.png
580,ducklett,"みず, ひこう","するどいめ, はとむね, うるおいボディ",55,62,44,50,44,50,55,"かぜおこし, つばさでうつ, そらをとぶ, すてみタックル, みずでっぽう, なみのり, れいとうビーム, バブルこうせん, どくどく, かげぶんしん, オウムがえし, スピードスター, ねむる, みがわり, いびき, まもる, こごえるかぜ, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, めざめるパワー, あまごい, うずしお, さわぐ, あられ, からげんき, てだすけ, がむしゃら, ひみつのちから, ダイビング, フェザーダンス, どろあそび, エアカッター, つばめがえし, みずあそび, みずのはどう, はねやすめ, しおみず, ついばむ, おいかぜ, おまじない, さきどり, アクアリング, エアスラッシュ, ブレイブバード, きりばらい, アクアジェット, りんしょう, ねっとう, ぼうふう, チャームボイス, ないしょばなし, アクアブレイク, テラバースト, くさわけ, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/580.png
581,swanna,"みず, ひこう","するどいめ, はとむね, うるおいボディ",242,75,87,63,87,63,98,"かぜおこし, つばさでうつ, そらをとぶ, すてみタックル, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, バブルこうせん, はかいこうせん, どくどく, かげぶんしん, スピードスター, ゴッドバード, ねむる, みがわり, いびき, まもる, こごえるかぜ, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, めざめるパワー, あまごい, うずしお, さわぐ, あられ, からげんき, てだすけ, はたきおとす, がむしゃら, ひみつのちから, ダイビング, フェザーダンス, ウェザーボール, エアカッター, つばめがえし, みずあそび, みずのはどう, はねやすめ, しおみず, ついばむ, おいかぜ, アクアリング, エアスラッシュ, ブレイブバード, ギガインパクト, きりばらい, アクアジェット, りんしょう, ねっとう, アクロバット, ぼうふう, チャームボイス, ないしょばなし, アクアブレイク, クイックターン, テラバースト, くさわけ, ひやみず, みわくのボイス",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/581.png
582,vanillite,こおり,"アイスボディ, ゆきがくれ, くだけるよろい",57,36,50,50,65,60,44,"しろいきり, れいとうビーム, ふぶき, どくどく, かげぶんしん, かたくなる, ひかりのかべ, じばく, とける, だいばくはつ, ねむる, みがわり, いびき, こなゆき, まもる, こごえるかぜ, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, めざめるパワー, あまごい, ミラーコート, さわぐ, あられ, からげんき, ちょうはつ, マジックコート, ふういん, ひみつのちから, ハイパーボイス, おどろかす, シグナルビーム, ぜったいれいど, つららばり, てっぺき, みずのはどう, しぜんのめぐみ, でんじふゆう, ゆきなだれ, こおりのつぶて, ミラーショット, ラスターカノン, ボディパージ, りんしょう, サイドチェンジ, こおりのいぶき, つららおとし, ないしょばなし, オーロラベール",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/582.png
